"","charge120","charge240","city08","cityA08","cityCD","cityE","cityUF","combE","cylinders","drive","fuelCost08","fuelCostA08","fuelType","fuelType1","hlv","lv4","make","model","mpgData","phevBlended","pv2","pv4","range","rangeCity","rangeCityA","rangeHwy","rangeHwyA","trany","UCity","UCityA","VClass","year","youSaveSpend","guzzler","tCharger","sCharger","atvType","fuelType2","rangeA","evMotor"
"11681",0,0,11,0,0,0,0,0,12,"Rear-Wheel Drive",4400,0,"Premium","Premium Gasoline",0,0,"Aston Martin","DB9","N","false",78,0,0,0,0,0,0,"Automatic (S6)",13.6012,0,"Minicompact Cars",2005,-10750,"G",NA,"","","","",""
"11682",0,0,11,0,0,0,0,0,12,"Rear-Wheel Drive",4400,0,"Premium","Premium Gasoline",0,0,"Aston Martin","DB9 Volante","N","false",78,0,0,0,0,0,0,"Automatic (S6)",13.9288,0,"Minicompact Cars",2005,-10750,"G",NA,"","","","",""
"11683",0,0,10,0,0,0,0,0,12,"Rear-Wheel Drive",4750,0,"Premium","Premium Gasoline",0,0,"Aston Martin","V12 Vanquish S","N","false",78,0,0,0,0,0,0,"Automatic (S6)",12.1251,0,"Minicompact Cars",2005,-12500,"G",NA,"","","","",""
"11684",0,0,18,0,0,0,0,0,4,"Front-Wheel Drive",2700,0,"Premium","Premium Gasoline",14,0,"Audi","TT Coupe","N","false",0,0,0,0,0,0,0,"Automatic (S6)",23.1,0,"Minicompact Cars",2005,-2250,"",TRUE,"","","","",""
"11685",0,0,18,0,0,0,0,0,4,"4-Wheel or All-Wheel Drive",2700,0,"Premium","Premium Gasoline",11,0,"Audi","TT Coupe quattro","Y","false",0,0,0,0,0,0,0,"Manual 6-spd",22.1726,0,"Minicompact Cars",2005,-2250,"",TRUE,"","","","",""
"11686",0,0,17,0,0,0,0,0,6,"4-Wheel or All-Wheel Drive",2850,0,"Premium","Premium Gasoline",11,0,"Audi","TT Coupe quattro","Y","false",0,0,0,0,0,0,0,"Automatic (S6)",21.2571,0,"Minicompact Cars",2005,-3000,"",NA,"","","","",""
"11687",0,0,17,0,0,0,0,0,6,"Rear-Wheel Drive",2850,0,"Premium","Premium Gasoline",0,0,"BMW","325ci Convertible","N","false",74,0,0,0,0,0,0,"Manual 5-spd",20.8,0,"Minicompact Cars",2005,-3000,"",NA,"","","","",""
"11688",0,0,16,0,0,0,0,0,6,"Rear-Wheel Drive",3000,0,"Premium","Premium Gasoline",0,0,"BMW","325ci Convertible","N","false",74,0,0,0,0,0,0,"Automatic (S5)",20.5,0,"Minicompact Cars",2005,-3750,"",NA,"","","","",""
"11689",0,0,17,0,0,0,0,0,6,"Rear-Wheel Drive",2850,0,"Premium","Premium Gasoline",0,0,"BMW","330ci Convertible","Y","false",74,0,0,0,0,0,0,"Manual 6-spd",21.6,0,"Minicompact Cars",2005,-3000,"",NA,"","","","",""
"11690",0,0,16,0,0,0,0,0,6,"Rear-Wheel Drive",3000,0,"Premium","Premium Gasoline",0,0,"BMW","330ci Convertible","N","false",74,0,0,0,0,0,0,"Automatic (S5)",20.4,0,"Minicompact Cars",2005,-3750,"",NA,"","","","",""
"11692",0,0,17,0,0,0,0,0,6,"Rear-Wheel Drive",2850,0,"Premium","Premium Gasoline",0,0,"BMW","330ci Convertible","N","false",74,0,0,0,0,0,0,"Automatic (S6)",21.1528,0,"Minicompact Cars",2005,-3000,"",NA,"","","","",""
"11693",0,0,14,0,0,0,0,0,6,"Rear-Wheel Drive",3350,0,"Premium","Premium Gasoline",0,0,"BMW","M3 Convertible","N","false",74,0,0,0,0,0,0,"Manual 6-spd",17.5,0,"Minicompact Cars",2005,-5500,"G",NA,"","","","",""
"11694",0,0,14,0,0,0,0,0,6,"Rear-Wheel Drive",3550,0,"Premium","Premium Gasoline",0,0,"BMW","M3 Convertible","N","false",74,0,0,0,0,0,0,"Automatic (S6)",17.7191,0,"Minicompact Cars",2005,-6500,"G",NA,"","","","",""
"11695",0,0,16,0,0,0,0,0,8,"Rear-Wheel Drive",3000,0,"Premium","Premium Gasoline",0,0,"Jaguar","XK8 Convertible","N","false",70,0,0,0,0,0,0,"Automatic 6-spd",19.598,0,"Minicompact Cars",2005,-3750,"",NA,"","","","",""
"11697",0,0,16,0,0,0,0,0,8,"Rear-Wheel Drive",3150,0,"Premium","Premium Gasoline",0,0,"Lexus","SC 430","N","false",75,0,0,0,0,0,0,"Automatic 5-spd",19.4718,0,"Minicompact Cars",2005,-4500,"",NA,"","","","",""
"11698",0,0,23,0,0,0,0,0,4,"Front-Wheel Drive",2200,0,"Premium","Premium Gasoline",0,0,"MINI","Cooper","Y","false",77,0,0,0,0,0,0,"Automatic (variable gear ratios)",28.9,0,"Minicompact Cars",2005,250,"",NA,"","","","",""
"11699",0,0,24,0,0,0,0,0,4,"Front-Wheel Drive",2050,0,"Premium","Premium Gasoline",0,0,"MINI","Cooper","Y","false",77,0,0,0,0,0,0,"Manual 5-spd",31.1,0,"Minicompact Cars",2005,1000,"",NA,"","","","",""
"11700",0,0,23,0,0,0,0,0,4,"Front-Wheel Drive",2300,0,"Premium","Premium Gasoline",0,0,"MINI","Cooper Convertible","Y","false",70,0,0,0,0,0,0,"Automatic (variable gear ratios)",28.8,0,"Minicompact Cars",2005,-250,"",NA,"","","","",""
"11701",0,0,24,0,0,0,0,0,4,"Front-Wheel Drive",2100,0,"Premium","Premium Gasoline",0,0,"MINI","Cooper Convertible","Y","false",70,0,0,0,0,0,0,"Manual 5-spd",30.4,0,"Minicompact Cars",2005,750,"",NA,"","","","",""
"11705",0,0,20,0,0,0,0,0,4,"Front-Wheel Drive",2250,0,"Regular","Regular Gasoline",0,0,"Mitsubishi","Eclipse Spyder","N","false",75,0,0,0,0,0,0,"Manual 5-spd",25.5,0,"Minicompact Cars",2005,0,"",NA,"","","","",""
"11706",0,0,18,0,0,0,0,0,4,"Front-Wheel Drive",2600,0,"Regular","Regular Gasoline",0,0,"Mitsubishi","Eclipse Spyder","N","false",75,0,0,0,0,0,0,"Automatic (S4)",22.6205,0,"Minicompact Cars",2005,-1750,"",NA,"","","","",""
"11707",0,0,18,0,0,0,0,0,6,"Front-Wheel Drive",2700,0,"Premium","Premium Gasoline",0,0,"Mitsubishi","Eclipse Spyder","N","false",75,0,0,0,0,0,0,"Manual 5-spd",22.6,0,"Minicompact Cars",2005,-2250,"",NA,"","","","",""
"11708",0,0,18,0,0,0,0,0,6,"Front-Wheel Drive",2700,0,"Premium","Premium Gasoline",0,0,"Mitsubishi","Eclipse Spyder","N","false",75,0,0,0,0,0,0,"Manual 5-spd",22.7,0,"Minicompact Cars",2005,-2250,"",NA,"","","","",""
"11709",0,0,18,0,0,0,0,0,6,"Front-Wheel Drive",2700,0,"Premium","Premium Gasoline",0,0,"Mitsubishi","Eclipse Spyder","N","false",75,0,0,0,0,0,0,"Automatic (S4)",22.3,0,"Minicompact Cars",2005,-2250,"",NA,"","","","",""
"11710",0,0,18,0,0,0,0,0,6,"Front-Wheel Drive",2850,0,"Premium","Premium Gasoline",0,0,"Mitsubishi","Eclipse Spyder","N","false",75,0,0,0,0,0,0,"Automatic (S4)",22.2465,0,"Minicompact Cars",2005,-3000,"",NA,"","","","",""
"11711",0,0,17,0,0,0,0,0,6,"Rear-Wheel Drive",3000,0,"Premium","Premium Gasoline",0,0,"Porsche","Carrera 2 Cabriolet","N","false",68,0,0,0,0,0,0,"Automatic 5-spd",20.8149,0,"Minicompact Cars",2005,-3750,"",NA,"","","","",""
