"","X","city08","cityA08","cityCD","cityE","cityUF","combE","cylinders","drive","fuelCost08","fuelCostA08","fuelType","fuelType1","hlv","lv4","make","model","mpgData","phevBlended","pv2","pv4","range","rangeCity","rangeCityA","rangeHwy","rangeHwyA","trany","UCity","UCityA","VClass","year","youSaveSpend","guzzler","tCharger","sCharger","atvType","fuelType2","rangeA","evMotor"
"325",12052,18,0,0,0,0,0,6,"Front-Wheel Drive",2450,0,"Regular","Regular Gasoline",0,17,"Buick","Century","Y","false",0,102,0,0,0,0,0,"Automatic 4-spd",22.4,0,"Midsize Cars",2005,-1000,"",NA,NA,"","","",""
"326",12053,17,0,0,0,0,0,6,"Front-Wheel Drive",2600,0,"Regular","Regular Gasoline",0,16,"Buick","Lacrosse/Allure","N","false",0,99,0,0,0,0,0,"Automatic 4-spd",21,0,"Midsize Cars",2005,-1750,"",NA,NA,"","","",""
"327",12054,18,0,0,0,0,0,6,"Front-Wheel Drive",2450,0,"Regular","Regular Gasoline",0,16,"Buick","Lacrosse/Allure","Y","false",0,99,0,0,0,0,0,"Automatic 4-spd",22,0,"Midsize Cars",2005,-1000,"",NA,NA,"","","",""
"335",12063,22,0,0,0,0,0,4,"Front-Wheel Drive",2100,0,"Regular","Regular Gasoline",0,16,"Chevrolet","Classic","Y","false",0,99,0,0,0,0,0,"Automatic 4-spd",27.6149,0,"Midsize Cars",2005,750,"",NA,NA,"","","",""
"336",12064,18,0,0,0,0,0,6,"Front-Wheel Drive",2450,0,"Regular","Regular Gasoline",0,13,"Chevrolet","Epica","N","false",0,101,0,0,0,0,0,"Automatic 4-spd",22.5,0,"Midsize Cars",2005,-1000,"",NA,NA,"","","",""
"337",12065,21,0,0,0,0,0,4,"Front-Wheel Drive",2100,0,"Regular","Regular Gasoline",0,15,"Chevrolet","Malibu","Y","false",0,101,0,0,0,0,0,"Automatic 4-spd",27.1,0,"Midsize Cars",2005,750,"",NA,NA,"","","",""
"338",12066,20,0,0,0,0,0,6,"Front-Wheel Drive",2250,0,"Regular","Regular Gasoline",0,15,"Chevrolet","Malibu","Y","false",0,101,0,0,0,0,0,"Automatic 4-spd",24.9,0,"Midsize Cars",2005,0,"",NA,NA,"","","",""
"339",12068,19,0,0,0,0,0,6,"Front-Wheel Drive",2350,0,"Regular","Regular Gasoline",0,0,"Chevrolet","Monte Carlo","Y","false",96,0,0,0,0,0,0,"Automatic 4-spd",23.6,0,"Midsize Cars",2005,-500,"",NA,NA,"","","",""
"340",12070,18,0,0,0,0,0,6,"Front-Wheel Drive",2450,0,"Regular","Regular Gasoline",0,0,"Chevrolet","Monte Carlo","N","false",96,0,0,0,0,0,0,"Automatic 4-spd",22.2,0,"Midsize Cars",2005,-1000,"",NA,NA,"","","",""
"341",12071,20,0,0,0,0,0,4,"Front-Wheel Drive",2350,0,"Regular","Regular Gasoline",0,16,"Chrysler","Sebring 4 Door","Y","false",0,94,0,0,0,0,0,"Automatic 4-spd",24.6,0,"Midsize Cars",2005,-500,"",NA,NA,"","","",""
