"","X","charge120","charge240","city08","cityA08","cityCD","cityE","cityUF","combE","cylinders","drive","fuelCost08","fuelCostA08","fuelType","fuelType1","hlv","lv4","make","model","mpgData","phevBlended","pv2","pv4","range","rangeCity","rangeCityA","rangeHwy","rangeHwyA","trany","UCity","UCityA","VClass","year","youSaveSpend","guzzler","tCharger","sCharger","atvType","fuelType2","rangeA","evMotor"
"325",12052,0,0,18,0,0,0,0,0,6,"Front-Wheel Drive",2450,0,"Regular","Regular Gasoline",0,17,"Buick","Century","Y","false",0,102,0,0,0,0,0,"Automatic 4-spd",22.4,0,"Midsize Cars",2005,-1000,"",NA,NA,"","","",""
"326",12053,0,0,17,0,0,0,0,0,6,"Front-Wheel Drive",2600,0,"Regular","Regular Gasoline",0,16,"Buick","Lacrosse/Allure","N","false",0,99,0,0,0,0,0,"Automatic 4-spd",21,0,"Midsize Cars",2005,-1750,"",NA,NA,"","","",""
"327",12054,0,0,18,0,0,0,0,0,6,"Front-Wheel Drive",2450,0,"Regular","Regular Gasoline",0,16,"Buick","Lacrosse/Allure","Y","false",0,99,0,0,0,0,0,"Automatic 4-spd",22,0,"Midsize Cars",2005,-1000,"",NA,NA,"","","",""
"328",12055,0,0,16,0,0,0,0,0,6,"Rear-Wheel Drive",2750,0,"Regular","Regular Gasoline",0,13,"Cadillac","CTS","N","false",0,99,0,0,0,0,0,"Manual 6-spd",19.3,0,"Midsize Cars",2005,-2500,"",NA,NA,"","","",""
"329",12057,0,0,16,0,0,0,0,0,6,"Rear-Wheel Drive",2750,0,"Regular","Regular Gasoline",0,13,"Cadillac","CTS","Y","false",0,99,0,0,0,0,0,"Automatic 5-spd",19.513,0,"Midsize Cars",2005,-2500,"",NA,NA,"","","",""
"330",12058,0,0,15,0,0,0,0,0,6,"Rear-Wheel Drive",2900,0,"Regular","Regular Gasoline",0,13,"Cadillac","CTS","N","false",0,99,0,0,0,0,0,"Manual 6-spd",18.5,0,"Midsize Cars",2005,-3250,"",NA,NA,"","","",""
"331",12059,0,0,13,0,0,0,0,0,8,"Rear-Wheel Drive",3550,0,"Premium","Premium Gasoline",0,13,"Cadillac","CTS-V","Y","false",0,99,0,0,0,0,0,"Manual 6-spd",16.6318,0,"Midsize Cars",2005,-6500,"G",NA,NA,"","","",""
"332",12060,0,0,16,0,0,0,0,0,6,"Rear-Wheel Drive",2900,0,"Regular","Regular Gasoline",0,13,"Cadillac","STS 2WD","Y","false",0,104,0,0,0,0,0,"Automatic (S5)",19.3,0,"Midsize Cars",2005,-3250,"",NA,NA,"","","",""
"333",12061,0,0,15,0,0,0,0,0,8,"Rear-Wheel Drive",3150,0,"Premium","Premium Gasoline",0,13,"Cadillac","STS 2WD","Y","false",0,104,0,0,0,0,0,"Automatic (S5)",18.4995,0,"Midsize Cars",2005,-4500,"",NA,NA,"","","",""
"334",12062,0,0,14,0,0,0,0,0,8,"4-Wheel or All-Wheel Drive",3350,0,"Premium","Premium Gasoline",0,13,"Cadillac","STS AWD","N","false",0,104,0,0,0,0,0,"Automatic (S5)",17.6994,0,"Midsize Cars",2005,-5500,"G",NA,NA,"","","",""
