"","X","city08","cylinders","drive","fuelCost08","fuelType","fuelType1","hlv","lv4","make","model","mpgData","phevBlended","pv2","pv4","range","rangeCity","rangeCityA","rangeHwy","rangeHwyA","trany","UCity","UCityA","VClass","year","youSaveSpend","guzzler","tCharger","sCharger","atvType","fuelType2","rangeA","evMotor"
"7385",23306,28,4,"Front-Wheel Drive",1600,"Regular","Regular Gasoline",0,15,"Hyundai","Elantra","Y","false",0,96,0,0,0,0,0,"Automatic 6-spd",37.7603,0,"Midsize Cars",2012,3250,"",NA,NA,"","","",""
"7392",23314,22,4,"Front-Wheel Drive",2100,"Regular","Regular Gasoline",0,17,"Mazda","6","Y","false",0,102,0,0,0,0,0,"Automatic (S5)",27.5021,0,"Midsize Cars",2012,750,"",NA,NA,"","","",""
"7453",23381,21,4,"Front-Wheel Drive",2150,"Regular","Regular Gasoline",0,0,"Mazda","5","Y","false",0,0,0,0,0,0,0,"Automatic (S5)",27.2682,0,"Minivan - 2WD",2012,500,"",NA,NA,"","","",""
"7455",23383,22,4,"Front-Wheel Drive",2100,"Regular","Regular Gasoline",0,0,"Hyundai","Tucson 2WD","Y","false",0,0,0,0,0,0,0,"Automatic 6-spd",28.8,0,"Sport Utility Vehicle - 2WD",2012,750,"",NA,NA,"","","",""
"7457",23385,21,4,"Front-Wheel Drive",2100,"Regular","Regular Gasoline",0,0,"Hyundai","Tucson 2WD","Y","false",0,0,0,0,0,0,0,"Automatic 6-spd",27.7,0,"Sport Utility Vehicle - 2WD",2012,750,"",NA,NA,"","","",""
"7459",23388,21,4,"Front-Wheel Drive",2150,"Regular","Regular Gasoline",0,0,"Kia","Sorento 2WD","Y","false",0,0,0,0,0,0,0,"Automatic 6-spd",27.4,0,"Sport Utility Vehicle - 2WD",2012,500,"",NA,NA,"","","",""
"7460",23389,21,4,"Front-Wheel Drive",2150,"Regular","Regular Gasoline",0,0,"Kia","Sorento 2WD","N","false",0,0,0,0,0,0,0,"Automatic 6-spd",26.9,0,"Sport Utility Vehicle - 2WD",2012,500,"",NA,NA,"","","",""
"7463",23392,21,4,"Front-Wheel Drive",2150,"Regular","Regular Gasoline",0,0,"Kia","Sportage 2WD","N","false",0,0,0,0,0,0,0,"Automatic 6-spd",27.6,0,"Sport Utility Vehicle - 2WD",2012,500,"",TRUE,NA,"","","",""
"7464",23393,21,4,"Front-Wheel Drive",2100,"Regular","Regular Gasoline",0,0,"Kia","Sportage 2WD","Y","false",0,0,0,0,0,0,0,"Automatic 6-spd",27.7619,0,"Sport Utility Vehicle - 2WD",2012,750,"",NA,NA,"","","",""
"7483",23416,26,4,"Front-Wheel Drive",1650,"Regular","Regular Gasoline",0,16,"Chevrolet","Cruze Eco","Y","false",0,94,0,0,0,0,0,"Automatic 6-spd",33.8,0,"Midsize Cars",2012,3000,"",TRUE,NA,"","","",""
"7518",23469,25,4,"Front-Wheel Drive",1800,"Regular","Regular Gasoline",0,13,"Buick","Regal eAssist","Y","false",0,98,0,0,0,0,0,"Auto(AV-S6)",31.4323,0,"Midsize Cars",2012,2250,"",NA,NA,"Hybrid","","","115V Li-Ion"
"7519",23470,25,4,"Front-Wheel Drive",1800,"Regular","Regular Gasoline",0,16,"Buick","LaCrosse eAssist","Y","false",0,100,0,0,0,0,0,"Auto(AV-S6)",31.4323,0,"Midsize Cars",2012,2250,"",NA,NA,"Hybrid","","","115V Li-Ion"
"7523",23477,26,4,"Front-Wheel Drive",1750,"Regular","Regular Gasoline",0,16,"Chevrolet","Cruze","Y","false",0,94,0,0,0,0,0,"Automatic (S6)",33.3,0,"Midsize Cars",2012,2500,"",TRUE,NA,"","","",""
"7524",23478,22,4,"Front-Wheel Drive",1900,"Regular","Regular Gasoline",0,16,"Chevrolet","Cruze","Y","false",0,94,0,0,0,0,0,"Automatic (S6)",28.5,0,"Midsize Cars",2012,1750,"",NA,NA,"","","",""
"7527",23481,22,4,"Front-Wheel Drive",2000,"Regular","Regular Gasoline",0,16,"Chevrolet","Malibu","Y","false",0,95,0,0,0,0,0,"Automatic (S6)",27.8,0,"Midsize Cars",2012,1250,"",NA,NA,"","","",""
"7531",23485,21,4,"Front-Wheel Drive",2150,"Regular","Regular Gasoline",0,14,"Chrysler","200","N","false",0,100,0,0,0,0,0,"Automatic 4-spd",26.5,0,"Midsize Cars",2012,500,"",NA,NA,"","","",""
"7532",23486,20,4,"Front-Wheel Drive",2150,"Regular","Regular Gasoline",0,14,"Chrysler","200","Y","false",0,100,0,0,0,0,0,"Automatic 6-spd",24.8,0,"Midsize Cars",2012,500,"",NA,NA,"","","",""
"7535",23490,21,4,"Front-Wheel Drive",2150,"Regular","Regular Gasoline",0,13,"Dodge","Avenger","Y","false",0,100,0,0,0,0,0,"Automatic 4-spd",26.5,0,"Midsize Cars",2012,500,"",NA,NA,"","","",""
"7536",23491,20,4,"Front-Wheel Drive",2150,"Regular","Regular Gasoline",0,13,"Dodge","Avenger","Y","false",0,100,0,0,0,0,0,"Automatic 6-spd",24.8,0,"Midsize Cars",2012,500,"",NA,NA,"","","",""
"7541",23496,41,4,"Front-Wheel Drive",1350,"Regular","Regular Gasoline",0,16,"Ford","Fusion Hybrid FWD","Y","false",0,101,0,0,0,0,0,"Automatic (variable gear ratios)",56.5,0,"Midsize Cars",2012,4500,"",NA,NA,"Hybrid","","","275V Ni-MH"
