"","X","city08","cylinders","drive","fuelCost08","fuelType","fuelType1","hlv","lv4","make","model","mpgData","phevBlended","pv2","pv4","range","rangeCity","rangeCityA","rangeHwy","rangeHwyA","trany","UCity","UCityA","VClass","year","youSaveSpend","guzzler","tCharger","sCharger","atvType","fuelType2","rangeA","evMotor"
"7518",23469,25,4,"Front-Wheel Drive",1800,"Regular","Regular Gasoline",0,13,"Buick","Regal eAssist","Y","false",0,98,0,0,0,0,0,"Auto(AV-S6)",31.4323,0,"Midsize Cars",2012,2250,"",NA,NA,"Hybrid","","","115V Li-Ion"
"7519",23470,25,4,"Front-Wheel Drive",1800,"Regular","Regular Gasoline",0,16,"Buick","LaCrosse eAssist","Y","false",0,100,0,0,0,0,0,"Auto(AV-S6)",31.4323,0,"Midsize Cars",2012,2250,"",NA,NA,"Hybrid","","","115V Li-Ion"
"7541",23496,41,4,"Front-Wheel Drive",1350,"Regular","Regular Gasoline",0,16,"Ford","Fusion Hybrid FWD","Y","false",0,101,0,0,0,0,0,"Automatic (variable gear ratios)",56.5,0,"Midsize Cars",2012,4500,"",NA,NA,"Hybrid","","","275V Ni-MH"
"7548",23504,41,4,"Front-Wheel Drive",1350,"Regular","Regular Gasoline",0,11,"Lincoln","MKZ Hybrid FWD","Y","false",0,99,0,0,0,0,0,"Automatic (variable gear ratios)",56.5,0,"Midsize Cars",2012,4500,"",NA,NA,"Hybrid","","","275V Ni-MH"
"7630",23597,34,4,"Front-Wheel Drive",1600,"Regular","Regular Gasoline",0,0,"Ford","Escape Hybrid FWD","Y","false",0,0,0,0,0,0,0,"Automatic (variable gear ratios)",45.2,0,"Sport Utility Vehicle - 2WD",2012,3250,"",NA,NA,"Hybrid","","","330V Ni-MH"
"7881",23912,51,4,"Front-Wheel Drive",1050,"Regular","Regular Gasoline",22,0,"Toyota","Prius","Y","false",0,0,0,0,0,0,0,"Automatic (variable gear ratios)",71.7588,0,"Midsize Cars",2012,6000,"",NA,NA,"Hybrid","","","202V Ni-MH"
"7947",23989,44,4,"Front-Wheel Drive",1250,"Regular","Regular Gasoline",34,0,"Toyota","Prius v","Y","false",0,0,0,0,0,0,0,"Automatic (variable gear ratios)",59.873,0,"Midsize Station Wagons",2012,5000,"",NA,NA,"Hybrid","","","202V Ni-MH"
"8191",24274,43,4,"Front-Wheel Drive",1250,"Regular","Regular Gasoline",0,13,"Toyota","Camry Hybrid LE","Y","false",0,103,0,0,0,0,0,"Automatic (variable gear ratios)",58.5479,0,"Midsize Cars",2012,5000,"",NA,NA,"Hybrid","","","245V Ni-MH"
"8192",24275,40,4,"Front-Wheel Drive",1300,"Regular","Regular Gasoline",0,13,"Toyota","Camry Hybrid XLE","Y","false",0,103,0,0,0,0,0,"Automatic (variable gear ratios)",55.0557,0,"Midsize Cars",2012,4750,"",NA,NA,"Hybrid","","","245V Ni-MH"
"8276",24376,34,4,"Front-Wheel Drive",1450,"Regular","Regular Gasoline",0,11,"Hyundai","Sonata Hybrid","Y","false",0,104,0,0,0,0,0,"Automatic 6-spd",47.2,0,"Midsize Cars",2012,4000,"",NA,NA,"Hybrid","","","270V Li-Ion"
"8277",24377,34,4,"Front-Wheel Drive",1450,"Regular","Regular Gasoline",0,10,"Kia","Optima Hybrid","Y","false",0,102,0,0,0,0,0,"Automatic 6-spd",46.8,0,"Midsize Cars",2012,4000,"",NA,NA,"Hybrid","","","270V Li-Ion"
"8298",24401,25,4,"Front-Wheel Drive",1800,"Regular","Regular Gasoline",0,16,"Chevrolet","Malibu eAssist","Y","false",0,95,0,0,0,0,0,"Automatic (S6)",31.9796,0,"Midsize Cars",2013,2250,"",NA,NA,"Hybrid","","","115V Li-Ion"
"8456",24609,25,4,"Front-Wheel Drive",1800,"Regular","Regular Gasoline",0,13,"Buick","Regal eAssist","N","false",0,98,0,0,0,0,0,"Automatic (S6)",31.9796,0,"Midsize Cars",2013,2250,"",NA,NA,"Hybrid","","","115V Li-Ion"
"8457",24612,25,4,"Front-Wheel Drive",1800,"Regular","Regular Gasoline",0,16,"Buick","LaCrosse eAssist","N","false",0,100,0,0,0,0,0,"Automatic (S6)",31.9796,0,"Midsize Cars",2013,2250,"",NA,NA,"Hybrid","","","115V Li-Ion"
"9006",25289,42,4,"Front-Wheel Drive",1300,"Regular","Regular Gasoline",0,24,"Ford","C-MAX Hybrid FWD","Y","false",0,100,0,0,0,0,0,"Automatic (variable gear ratios)",60.4817,0,"Large Cars",2013,4750,"",NA,NA,"Hybrid","","","280V Li-Ion"
"9078",25369,44,4,"Front-Wheel Drive",1250,"Regular","Regular Gasoline",0,16,"Ford","Fusion Hybrid FWD","Y","false",0,101,0,0,0,0,0,"Automatic (variable gear ratios)",60.4817,0,"Midsize Cars",2013,5000,"",NA,NA,"Hybrid","","","280V Li-Ion"
"9286",25604,38,4,"Front-Wheel Drive",1350,"Regular","Regular Gasoline",0,12,"Lincoln","MKZ Hybrid FWD","N","false",0,99,0,0,0,0,0,"Automatic (variable gear ratios)",60.4817,0,"Midsize Cars",2013,4500,"",NA,NA,"Hybrid","","","275V Ni-MH"
"9309",25637,51,4,"Front-Wheel Drive",1050,"Regular","Regular Gasoline",22,0,"Toyota","Prius","Y","false",0,0,0,0,0,0,0,"Automatic (variable gear ratios)",71.6404,0,"Midsize Cars",2013,6000,"",NA,NA,"Hybrid","","","202V Ni-MH"
"9312",25645,44,4,"Front-Wheel Drive",1250,"Regular","Regular Gasoline",0,34,"Toyota","Prius v","Y","false",0,97,0,0,0,0,0,"Automatic (variable gear ratios)",59.898,0,"Midsize Station Wagons",2013,5000,"",NA,NA,"Hybrid","","","202V Ni-MH"
"9348",25691,40,4,"Front-Wheel Drive",1300,"Regular","Regular Gasoline",0,14,"Toyota","Avalon Hybrid","Y","false",0,104,0,0,0,0,0,"Auto(AV-S6)",56.1,0,"Midsize Cars",2013,4750,"",NA,NA,"Hybrid","","","245V Ni-MH"
